id,group,정답,인식결과,CER
g01,general,환자분은 어젯밤부터 오른쪽 아랫배 통증을 호소하고 있습니다,환자부는 어젯밤부터 오른쪽 아래뚜의 통증을 호소하고 있습니다,0.1562
g02,general,혈압은 정상 범위이고 체온은 372도입니다,혈압은 정상 범위고 채오는 372도입니다,0.1739
g03,general,다음 주 화요일 오전에 외래 진료 예약을 잡아 드리겠습니다,다음 주 화요일 오전에 외래 진료 예약을 잡아 드리겠습니다,0.0000
g04,general,검사 결과는 3일 뒤에 확인하실 수 있습니다,검사 결과는 3일 뒤에 확인하실 수 있습니다,0.0000
g05,general,어지럼증이 심해지면 바로 응급실로 오세요,어지럼증이 심해지면 바로 응급실로 오세요,0.0000
g06,general,금식은 검사 8시간 전부터 유지해 주세요,금식은 검사 8시간 전부터 유지해주세요,0.0455
g07,general,상처 부위가 붉어지거나 열감이 있으면 알려 주세요,상처 부위가 불거지거나 열감이 있으면 알려주세요,0.1111
g08,general,오늘은 심전도와 흉부 엑스레이를 시행하겠습니다,오늘은 심전도와 흠보 x-ray를 시행하겠습니다,0.2800
g09,general,지난번보다 체중이 2kg 줄었습니다,지난번 보다 체중이 2kg 줄었습니다,0.0526
g10,general,기침이 2주 넘게 지속되면 추가 검사가 필요합니다,기침이 두 주 넘게 지속되면 추가 검사가 필요합니다,0.0741
g11,general,수술 후 회복까지는 보통 6주 정도 걸립니다,수술 후 회복까지는 보통 6주 정도 걸립니다,0.0000
g12,general,하루에 물을 2l 이상 드시는 것이 좋습니다,하루에 물을 1l 이상 드시는 것이 좋습니다,0.0417
g13,general,가족력 중에 심장 질환이 있는지 확인하겠습니다,가족력 중에 심장 질환이 있는지 확인하겠습니다,0.0000
g14,general,입원 기간은 대략 5일로 예상됩니다,이번 기간은 대략 오일로 예상됩니다,0.1579
g15,general,알레르기 반응이 있었던 적이 있는지 여쭤보겠습니다,알러지 반응이 있었던 적이 있는지 여쭤보겠습니다,0.1111
g16,general,공복 혈당이 130 정도로 조금 높게 나왔습니다,공복 혈당이 130km 정도로 조금 높게 나왔습니다,0.0769
g17,general,소변 검사에서 특별한 이상은 없었습니다,소변 검사에서 특별한 이상은 없었습니다,0.0000
g18,general,물리치료는 주 3회로 시작하겠습니다,물리치료는 주 3위로 시작하겠습니다,0.0526
g19,general,오늘 처방은 1주일분으로 드리겠습니다,오늘 처방은 한 주일분으로 드리겠습니다,0.1000
g20,general,통증이 10점 만점에 몇 점 정도인지 말씀해 주세요,통증이 10점 만점에 몇 점 정도인지 말씀해 주세요,0.0000
d01,drug,메트포르민 500mg을 하루 두 번 식후에 복용하세요,매트포르민 500mg을 하루 두 번 식구에 복용하세요,0.0690
d02,drug,아토르바스타틴 20mg으로 증량하고 4주 뒤 재검합니다,아토르바 스타틴 20mg로 증량하고 내주 뒤 제검합니다,0.1333
d03,drug,아목시실린 250mg 캡슐을 8시간 간격으로 드세요,아목 시실린 250mg 캡스를 8시간 간격으로 드세요,0.1071
d04,drug,로사르탄 50mg을 아침 식전에 한 알 복용합니다,로새르탄 50mg을 아침식 전에 한 알 복용합니다,0.1111
d05,drug,암로디핀 5mg을 저녁에 복용하고 혈압을 기록해 주세요,앞노디 핀고 밀리그램을 저녁에 복용하고 혈압을 기록해주세요,0.3000
d06,drug,오메프라졸 20mg을 공복에 드시고 2주 후 내원하세요,봄에 프라졸 20mg를 공복해 드시고 두 주 후 내원하세요,0.2333
d07,drug,세티리진 10mg은 취침 전에 한 알만 복용하세요,새 디리진 10mg은 취침 전에 한 알만 복용하세요,0.1111
d08,drug,이부프로펜 400mg은 통증이 있을 때만 복용합니다,이부 프로펜 400mg은 통증이 있을 때만 복용합니다,0.0357
d09,drug,아세트아미노펜 650mg을 6시간 간격으로 드셔도 됩니다,아세트 아미노펜 650mg을 6시간 간격으로 드셔도 됩니다,0.0323
d10,drug,레보플록사신 500mg을 7일간 하루 한 번 복용하세요,레보플록사신 500mg을 7일간 하루 한 번 복용하세요,0.0000
d11,drug,클로피도그렐 75mg은 임의로 중단하지 마세요,클로피도그레일 75mg은 이미로 중단하지 마세요,0.1600
d12,drug,리시노프릴 10mg 복용 후 마른기침이 생기면 알려 주세요,리신 오프릴십 밀리그램보경 후 마른 기침이 생기면 알려주세요,0.4062
d13,drug,심바스타틴 20mg은 저녁에 드시는 것이 좋습니다,신바스 타틴 20mg은 저녁에 드시는 것이 좋습니다,0.0741
d14,drug,프레드니솔론 5mg을 3일간 감량하며 복용합니다,프레드니 솔론 5mg을 3일간 감량하며 복용합니다,0.0385
d15,drug,와파린 25mg 복용 중이니 출혈 징후를 확인하세요,과파린 25mg 보경중인이 출혈친구를 확인하세요,0.3214
d16,drug,트라마돌 50mg은 어지럼증이 있을 수 있어 운전을 피하세요,드라마 돌 50mg은 어지럼증이 있을 수 있어 운전을 피하세요,0.0606
d17,drug,파모티딘 20mg을 아침저녁으로 복용하세요,파모 디딘 20mg을 아침저녁으로 복용하세요,0.0870
d18,drug,아지트로마이신 500mg을 3일간 복용하고 종료합니다,아지트로마이신 500mg을 3일간 복용하고 종료합니다,0.0000
d19,drug,메토프롤롤 25mg 복용 중 맥박이 느려지면 중단하세요,메토프로롤 25mg 보경 중 맥박이 느려지면 중단하세요,0.1000
d20,drug,독시사이클린 100mg은 충분한 물과 함께 드세요,독시 사이 글린 100mg은 충분한 물과 함께 드세요,0.1111
